Board Code,School Board,School Code,School Name,Mail Address Line 1,Mail Address Line 2,Mail Postal Code,Civic Address Line 1,Civic Address Line 2,Civic Postal Code,Telephone,Fax,Email,Grade Level,Early Immersion,Middle Immersion,Late Immersion,Intensive French,Integrated French,Location
54,HALIFAX REGIONAL              ,580,ST. JOSEPH'S-ALEXANDER MCKAY ELEMENTARY SCHOOL              ,                              ,                              ,       ,5389 RUSSELL ST               ,HALIFAX NS            ,B3K 1W8,9024935180,9024935186,SJAM@HRSB.CA                                   ,ELEMENTARY                    ,Early Immersion,,,,,"5389 RUSSELL ST
HALIFAX NS, NS B3K 1W8
(44.662243, -63.596085)"
54,HALIFAX REGIONAL              ,519,BROOKHOUSE ELEMENTARY SCHOOL                                ,                              ,                              ,       ,15 CHRISTOPHER AVE            ,DARTMOUTH NS          ,B2W 3G2,9024358318,9024358323,BES@HRSB.CA                                    ,ELEMENTARY                    ,,,,Intensive French,,"15 CHRISTOPHER AVE
DARTMOUTH NS, NS B2W 3G2
(44.67988, -63.521852)"
54,HALIFAX REGIONAL              ,609,ROCKINGHAM ELEMENTARY                             ,                              ,                              ,       ,31 TREMONT DRIVE,HALIFAX NS            ,B3M 1X8,902 457 8986,902 457 8993 ,ROCKINGHAM@HRSB.CA                                 ,ELEMENTARY/JUNIOR             ,Early Immersion,,,,,"31 TREMONT DRIVE
HALIFAX NS, NS B3M 1X8
(44.676667, -63.653171)"
54,HALIFAX REGIONAL              ,572,OXFORD SCHOOL                                               ,                              ,                              ,       ,6364 NORTH ST                 ,HALIFAX NS            ,B3L 1P6,9024216763,9024213043,OXFORD@HRSB.CA                                 ,ELEMENTARY/JUNIOR             ,Early Immersion,,,,,"6364 NORTH ST
HALIFAX NS, NS B3L 1P6
(44.649978, -63.601495)"
54,HALIFAX REGIONAL              ,587,LEMARCHANT-ST. THOMAS ELEMENTARY SCHOOL                     ,                              ,                              ,       ,1589 WALNUT ST                ,HALIFAX NS            ,B3H 3S1,9024216769,9024213036,LMSTS@HRSB.CA                                  ,ELEMENTARY                    ,Early Immersion,,,,,"1589 WALNUT ST
HALIFAX NS, NS B3H 3S1
(44.63984, -63.592926)"
54,HALIFAX REGIONAL              ,518,DARTMOUTH HIGH SCHOOL                                       ,                              ,                              ,       ,95 VICTORIA RD                ,DARTMOUTH NS          ,B3A 1V2,9024642457,9024642384,DHS@HRSB.CA                                    ,JUNIOR/SENIOR                 ,Early Immersion, ,,,,"95 VICTORIA RD
DARTMOUTH NS, NS B3A 1V2
(44.672134, -63.572323)"
54,HALIFAX REGIONAL              ,602,GROSVENOR-WENTWORTH PARK ELEMENTARY SCHOOL                  ,                              ,                              ,       ,4 DOWNING ST                  ,HALIFAX NS            ,B3M 2G4,9024578422,9024578430,GWP@HRSB.CA                                    ,ELEMENTARY                    ,Early Immersion,,,,,"4 DOWNING ST
HALIFAX NS, NS B3M 2G4
(44.685366, -63.668908)"
54,HALIFAX REGIONAL              ,578,FAIRVIEW JUNIOR HIGH SCHOOL                                 ,                              ,                              ,       ,155 ROSEDALE AVE              ,HALIFAX NS            ,B3N 2K2,9024578960,9024578963,FVJH@HRSB.CA                                   ,JUNIOR HIGH                   ,Early Immersion,,,,,"155 ROSEDALE AVE
HALIFAX NS, NS B3N 2K2
(44.6487, -63.647552)"
54,HALIFAX REGIONAL              ,538,ELLENVALE JUNIOR HIGH SCHOOL                                ,                              ,                              ,       ,88 BELLE VISTA DR             ,DARTMOUTH NS          ,B2W 2X7,9024358420,9024358469,EJHS@HRSB.CA                                   ,JUNIOR HIGH                   ,,,Late Immersion,,,"88 BELLE VISTA DR
DARTMOUTH NS, NS B2W 2X7
(44.678309, -63.519934)"
54,HALIFAX REGIONAL              ,540,SOUTHDALE-NORTH WOODSIDE SCHOOL (DARTMOUTH SOUTH ACADEMY)                            ,                              ,                              ,       ,36 HASTINGS DR                ,DARTMOUTH NS          ,B2Y 2C5,9024642081,9024610199,SNWS@HRSB.CA                                   ,ELEMENTARY/JUNIOR             ,Early Immersion,,,,,"36 HASTINGS DR
DARTMOUTH NS, NS B2Y 2C5
(44.666425, -63.547822)"
54,HALIFAX REGIONAL              ,568,GORSEBROOK JUNIOR HIGH SCHOOL                               ,                              ,                              ,       ,5966 SOUTH ST                 ,HALIFAX NS            ,B3H 1S6,9024216758,9024212709,GJH@HRSB.CA                                    ,JUNIOR HIGH                   ,Early Immersion,,,,,"5966 SOUTH ST
HALIFAX NS, NS B3H 1S6
(44.636625, -63.584342)"
54,HALIFAX REGIONAL              ,607,JOHN W. MACLEOD-FLEMING TOWER ELEMENTARY SCHOOL  (2 SITES)         ,                              ,                              ,       ,159 PURCELL'S COVE RD/ 25 RANDOLPH ST         ,HALIFAX NS            ,B3P 1B7,9024794437,9024794442,JWM@HRSB.CA                                    ,ELEMENTARY                    ,Early Immersion,,,,,"159 PURCELL'S COVE RD/ 25 RANDOLPH ST
HALIFAX NS, NS B3P 1B7"
54,HALIFAX REGIONAL              ,739,ASTRAL DRIVE ELEMENTARY SCHOOL                              ,                              ,                              ,       ,236 ASTRAL DR                 ,DARTMOUTH NS          ,B2V 1B8,9024628500,9024628600,ADE@HRSB.CA                                    ,ELEMENTARY                    ,Early Immersion,,,,,"236 ASTRAL DR
DARTMOUTH NS, NS B2V 1B8
(44.654202, -63.48013)"
54,HALIFAX REGIONAL              ,97,AUBURN DRIVE HIGH SCHOOL                                    ,                              ,                              ,       ,300 AUBURN DR                 ,DARTMOUTH NS          ,B2W 6E9,9024626900,9024626950,ADHS@HRSB.CA                                   ,SENIOR HIGH                   ,Early Immersion,,Late Immersion,,,"300 AUBURN DR
DARTMOUTH NS, NS B2W 6E9
(44.688337, -63.483561)"
54,HALIFAX REGIONAL              ,516,CALEDONIA JUNIOR HIGH SCHOOL                                ,                              ,                              ,       ,38 CALEDONIA RD               ,DARTMOUTH NS          ,B2X 1K8,9024358413,9024358425,CJHS@HRSB.CA                                   ,JUNIOR HIGH                   ,,,Late Immersion,,,"38 CALEDONIA RD
DARTMOUTH NS, NS B2X 1K8
(44.686931, -63.530489)"
