Year,Board Code,Board Name,School Code,School Name,Mail Address Line 1,Mail Address Line 2,Mailing Postal Code,Civic Address Line 1,Civic Address Line 2,Civic Postal Code,Telephone,Fax,Email
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,521,HARBOUR VIEW ELEMENTARY SCHOOL,25 ALFRED ST,DARTMOUTH NS,B3A 4E8,,,,9024642051,9024642282,HVES@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,522,HAWTHORN ELEMENTARY SCHOOL,10 HAWTHORNE ST,DARTMOUTH NS,B2Y 2Y3,,,,9024642048,9024642799,HAWTHORN@HRSB.NS.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,571,HIGHLAND PARK JUNIOR HIGH SCHOOL,3479 ROBIE ST,HALIFAX NS,B3K 4S4,,,,9024935124,9024935130,HPJH@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,327,HUMBER PARK ELEMENTARY SCHOOL,5 SMALLWOOD AVE,DARTMOUTH NS,B2W 3R6,,,,9024645177,9024645182,HPS@HRSB.NS.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,523,IAN FORSYTH ELEMENTARY SCHOOL,22 GLENCOE DR,DARTMOUTH NS,B2X 1J1,,,,9024358435,9024358365,IFES@HRSB.NS.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,579,INGLIS STREET ELEMENTARY SCHOOL,5985 INGLIS ST,HALIFAX NS,B3H 1K7,,,,9024216767,9024213028,ISES@HRSB.NS.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,619,J. L. ILSLEY HIGH SCHOOL,38 SYLVIA AVE,HALIFAX NS,B3R 1J9,,,,9024794612,9024794635,JLI@HRSB.NS.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,539,JOHN MACNEIL ELEMENTARY SCHOOL,62 LEAMAN DR,DARTMOUTH NS,B3A 2K9,,,,9024642488,9024642616,JMES@HRSB.NS.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,524,JOHN MARTIN JUNIOR HIGH SCHOOL,7 BRULE ST,DARTMOUTH NS,B3A 4G2,,,,9024642408,9024642062,JMJH@HRSB.NS.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,607,JOHN W. MACLEOD-FLEMING TOWER ELEMENTARY SCHOOL,159 PURCELL'S COVE RD,HALIFAX NS,B3P 1B7,,,,9024794437,9024794442,JWM@HRSB.NS.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,354,JOSEPH GILES ELEMENTARY SCHOOL,54 GREGORY DR,DARTMOUTH NS,B2W 3M6,,,,9024645192,9024645197,JGES@HRSB.NS.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,569,JOSEPH HOWE ELEMENTARY SCHOOL,2557 MAYNARD ST,HALIFAX NS,B3K 3V6,,,,9024216785,9024218744,JHOWE@HRSB.NS.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,587,LEMARCHANT-ST. THOMAS ELEMENTARY SCHOOL,1589 WALNUT ST,HALIFAX NS,B3H 3S1,,,,9024216769,9024213036,LMSTS@HRSB.NS.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,526,MICHAEL WALLACE ELEMENTARY SCHOOL,24 ANDOVER ST,DARTMOUTH NS,B2X 2L9,,,,9024358357,9024358395,MWES@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,527,MOUNT EDWARD ELEMENTARY SCHOOL,3 WINDWARD AVE,DARTMOUTH NS,B2W 2G9,,,,9024358459,9024358414,MEES@HRSB.NS.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,572,OXFORD SCHOOL,6364 NORTH ST,HALIFAX NS,B3L 1P6,,,,9024216763,9024213043,OXFORD@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,970,PARK WEST SCHOOL,206 LANGBRAE DR,HALIFAX NS,B3S 1L5,,,,9024577800,9024577804,PARKWEST@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,969,PORTLAND ESTATES ELEMENTARY SCHOOL,45 PORTLAND HILLS DR,DARTMOUTH NS,B2W 6L5,,,,9024337100,9024337103,PORTLAND@HRSB.NS.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,533,PRINCE ANDREW HIGH SCHOOL,31 WOODLAWN RD,DARTMOUTH NS,B2W 2R7,,,,9024358452,9024358398,PAH@HRSB.NS.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,359,ROBERT K. TURNER ELEMENTARY SCHOOL,141 CIRCASSION DR,DARTMOUTH NS,B2W 4N7,,,,9024645205,9024645208,RKT@HRSB.NS.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,603,ROCKINGHAM ELEMENTARY SCHOOL,31 TREMONT DR,HALIFAX NS,B3M 1X8,,,,9024578986,9024578993,ROCKINGHAM@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,609,ROCKINGSTONE HEIGHTS SCHOOL,1 REGAN DR,HALIFAX NS,B3R 2J1,,,,9024794452,9024794459,RHES@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,581,SAINT MARY'S ELEMENTARY SCHOOL,5614 MORRIS ST,HALIFAX NS,B3J 1C2,,,,9024216749,9024212655,STMARYS@HRSB.NS.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,534,SHANNON PARK ELEMENTARY SCHOOL,75 IROQUOIS DR,DARTMOUTH NS,B3A 4M5,,,,9024642084,9024642866,SPES@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,589,SIR CHARLES TUPPER SCHOOL,1930 CAMBRIDGE ST,HALIFAX NS,B3H 4S5,,,,9024216775,9024213049,TUPPER@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,320,SIR ROBERT BORDEN JUNIOR HIGH SCHOOL,16 EVERGREEN DR,DARTMOUTH NS,B2W 4A7,,,,9024645140,9024645150,SRBJH@HRSB.NS.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,535,SOUTH WOODSIDE SCHOOL,5 EVERETTE ST,DARTMOUTH NS,B2W 1G2,,,,9024642090,9024642778,SWES@HRSB.NS.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,593,SPRINGVALE ELEMENTARY SCHOOL,92 DOWNS AVE,HALIFAX NS,B3N 1Y6,,,,9024794606,9024794473,SPRVALE@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,575,ST. AGNES JUNIOR HIGH SCHOOL,6981 MUMFORD RD,HALIFAX NS,B3L 2H7,,,,9024935132,9024935140,STAGNES@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,577,ST. CATHERINE'S ELEMENTARY SCHOOL,3299 CONNOLLY ST,HALIFAX NS,B3L 3P7,,,,9024935143,9024935163,STCATH@HRSB.NS.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,580,ST. JOSEPH'S-ALEXANDER MCKAY ELEMENTARY SCHOOL,5389 RUSSELL ST,HALIFAX NS,B3K 1W8,,,,9024935180,9024935186,SJAM@HRSB.NS.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,586,ST. STEPHEN'S ELEMENTARY SCHOOL,3669 HIGHLAND AVE,HALIFAX NS,B3K 4L9,,,,9024935155,9024935158,SSES@HRCE.CA
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,591,WESTMOUNT ELEMENTARY SCHOOL,6700 EDWARD ARAB AVE,HALIFAX NS,B3L 2E1,,,,9024935164,9024935168,WMOUNT@HRCE.CA
2018-2019,57,CONSEIL SCOLAIRE ACADIEN PROVINCIAL,947,ÉCOLE BEAUBASSIN,54 BOUL LARRY UTECK,HALIFAX N.-É.,B3M 4R9,,,,9024576810,9024576809,EBB@CSAP.CA
2018-2019,57,CONSEIL SCOLAIRE ACADIEN PROVINCIAL,948,ÉCOLE BOIS-JOLI,211 AV DU PORTAGE,DARTMOUTH N.-É.,B2X 3T4,,,,9024337070,9024337077,EBJ@CSAP.CA
2018-2019,57,CONSEIL SCOLAIRE ACADIEN PROVINCIAL,68,ÉCOLE DU CARREFOUR,201A AV DU PORTAGE,DARTMOUTH N.-É.,B2X 3T4,,,,9024337000,9024337020,ECGH@CSAP.CA
2018-2019,57,CONSEIL SCOLAIRE ACADIEN PROVINCIAL,1197,ÉCOLE MER ET MONDE,5750 RUE ATLANTIC,HALIFAX N.-É.,B3H 1G9,,,,9024802180,9024802193,EMM@CSAP.CA
2018-2019,57,CONSEIL SCOLAIRE ACADIEN PROVINCIAL,1152,ÉCOLE SECONDAIRE DU SOMMET,500 BOUL LARRY UTECK,HALIFAX N.-É.,B3M 0E6,,,,9028324302,9028324352,ESS@CSAP.CA
2019-2020,54,Halifax Regional Centre for Education,512,Admiral Westphal Elementary School,6 Fourth St,Dartmouth NS,B2X 3A5,6 Fourth St,Dartmouth NS,B2X 3A5,902-435-8305,902-435-1749,awes@hrce.ca
2019-2020,54,Halifax Regional Centre for Education,513,Alderney Elementary School,2 Penhorn Dr,Dartmouth NS,B2Y 3K1,2 Penhorn Dr,Dartmouth NS,B2Y 3K1,902-464-2040,902-464-2686,alderney@hrce.ca
2019-2020,54,Halifax Regional Centre for Education,739,Astral Drive Elementary School,236 Astral Dr,Dartmouth NS,B2V 1B8,236 Astral Dr,Dartmouth NS,B2V 1B8,902-462-8500,902-462-8600,ade@hrce.ca
2019-2020,54,Halifax Regional Centre for Education,749,Astral Drive Junior High School,238 Astral Dr,Dartmouth NS,B2V 1B8,238 Astral Dr,Dartmouth NS,B2V 1B8,902-462-8700,902-462-6047,adjh@hrce.ca
2019-2020,54,Halifax Regional Centre for Education,97,Auburn Drive High School,300 Auburn Dr,Dartmouth NS,B2W 6E9,300 Auburn Dr,Dartmouth NS,B2W 6E9,902-462-6900,902-462-6950,adhs@hrce.ca
2019-2020,54,Halifax Regional Centre for Education,514,Bel Ayr Elementary School,4 Bell St,Dartmouth NS,B2W 2P3,4 Bell St,Dartmouth NS,B2W 2P3,902-435-8353,902-435-8373,belayr@hrce.ca
2019-2020,54,Halifax Regional Centre for Education,515,Bicentennial School,85 Victoria Rd,Dartmouth NS,B3A 1T9,85 Victoria Rd,Dartmouth NS,B3A 1T9,902-464-2094,902-464-2098,bicent@hrce.ca
2019-2020,54,Halifax Regional Centre for Education,519,Brookhouse Elementary School,15 Christopher Ave,Dartmouth NS,B2W 3G2,15 Christopher Ave,Dartmouth NS,B2W 3G2,902-435-8318,902-435-8323,bes@hrce.ca
2019-2020,54,Halifax Regional Centre for Education,595,Burton Ettinger Elementary School,52 Alex St,Halifax NS,B3N 2W4,52 Alex St,Halifax NS,B3N 2W4,902-457-8922,902-457-8928,bees@hrce.ca
2019-2020,54,Halifax Regional Centre for Education,319,Caldwell Road Elementary School,280 Caldwell Rd,Dartmouth NS,B2V 1A3,280 Caldwell Rd,Dartmouth NS,B2V 1A3,902-462-6010,902-462-6017,cres@hrce.ca
2019-2020,54,Halifax Regional Centre for Education,516,Caledonia Junior High School,38 Caledonia Rd,Dartmouth NS,B2X 1K8,38 Caledonia Rd,Dartmouth NS,B2X 1K8,902-435-8413,902-435-8425,cjhs@hrce.ca
2019-2020,54,Halifax Regional Centre for Education,611,Central Spryfield School,364 Herring Cove Rd,Halifax NS,B3R 1V8,364 Herring Cove Rd,Halifax NS,B3R 1V8,902-479-4286,902-479-4295,cses@hrce.ca
2019-2020,54,Halifax Regional Centre for Education,596,Chebucto Heights Elementary School,230 Cowie Hill Rd,Halifax NS,B3P 2M3,230 Cowie Hill Rd,Halifax NS,B3P 2M3,902-479-4298,902-479-4408,ches@hrce.ca
2019-2020,54,Halifax Regional Centre for Education,1109,Citadel High School,1855 Trollope St,Halifax NS,B3H 0A4,1855 Trollope St,Halifax NS,B3H 0A4,902-491-4444,902-491-1700,chs@hrce.ca
2019-2020,54,Halifax Regional Centre for Education,600,Clayton Park Junior High School,45 Plateau Cres,Halifax NS,B3M 2V7,45 Plateau Cres,Halifax NS,B3M 2V7,902-457-8930,902-457-1646,cpjh@hrce.ca
2019-2020,54,Halifax Regional Centre for Education,352,Colby Village Elementary School,92 Colby Dr,Dartmouth NS,B2V 1J7,92 Colby Dr,Dartmouth NS,B2V 1J7,902-464-5152,902-464-5154,cves@hrce.ca
2019-2020,54,Halifax Regional Centre for Education,517,Crichton Park Elementary School,49 Lyngby Ave,Dartmouth NS,B3A 3V1,49 Lyngby Ave,Dartmouth NS,B3A 3V1,902-464-2503,902-464-2770,crichton@hrce.ca
2019-2020,54,Halifax Regional Centre for Education,605,Cunard Junior High School,121 Williams Lake Rd,Halifax NS,B3P 1T6,121 Williams Lake Rd,Halifax NS,B3P 1T6,902-479-4418,902-479-4425,cunard@hrce.ca
2019-2020,54,Halifax Regional Centre for Education,518,Dartmouth High School,95 Victoria Rd,Dartmouth NS,B3A 1V2,95 Victoria Rd,Dartmouth NS,B3A 1V2,902-464-2457,902-464-2384,dhs@hrce.ca
2019-2020,54,Halifax Regional Centre for Education,1193,Dartmouth South Academy,111 Prince Arthur Ave,Dartmouth NS,B2Y 0C5,111 Prince Arthur Ave,Dartmouth NS,B2Y 0C5,902-464-2081,902-461-0199,dsa@hrce.ca
2019-2020,54,Halifax Regional Centre for Education,601,Duc d'Anville Elementary School,12 Clayton Park Dr,Halifax NS,B3M 1L3,12 Clayton Park Dr,Halifax NS,B3M 1L3,902-457-8940,902-457-8945,ddes@hrsb.ns.ca
2019-2020,54,Halifax Regional Centre for Education,614,Elizabeth Sutherland School,66 Rockingstone Rd,Halifax NS,B3R 2C9,66 Rockingstone Rd,Halifax NS,B3R 2C9,902-479-4427,902-479-4430,ess@hrsb.ns.ca
2019-2020,54,Halifax Regional Centre for Education,538,Ellenvale Junior High School,88 Belle Vista Dr,Dartmouth NS,B2W 2X7,88 Belle Vista Dr,Dartmouth NS,B2W 2X7,902-435-8420,902-435-8469,ejhs@hrce.ca
2019-2020,54,Halifax Regional Centre for Education,564,Eric Graves Memorial Junior High School,70 Dorothea Dr,Dartmouth NS,B2W 4M3,70 Dorothea Dr,Dartmouth NS,B2W 4M3,902-435-8325,902-435-8379,egmjh@hrce.ca
2019-2020,54,Halifax Regional Centre for Education,599,Fairview Heights Elementary School,210 Coronation Ave,Halifax NS,B3N 2N3,210 Coronation Ave,Halifax NS,B3N 2N3,902-457-8953,902-457-8957,fhes@hrsb.ns.ca
2019-2020,54,Halifax Regional Centre for Education,578,Fairview Junior High School,155 Rosedale Ave,Halifax NS,B3N 2K2,155 Rosedale Ave,Halifax NS,B3N 2K2,902-457-8960,902-457-8963,fvjh@hrsb.ns.ca
2019-2020,54,Halifax Regional Centre for Education,731,George Bissett Elementary School,170 Arklow Dr,Dartmouth NS,B2W 4R6,170 Arklow Dr,Dartmouth NS,B2W 4R6,902-464-5184,902-464-5187,gbes@hrce.ca
2019-2020,54,Halifax Regional Centre for Education,568,Gorsebrook Junior High School,5966 South St,Halifax NS,B3H 1S6,5966 South St,Halifax NS,B3H 1S6,902-421-6758,902-421-2709,gjh@hrsb.ns.ca
2019-2020,54,Halifax Regional Centre for Education,602,Grosvenor-Wentworth Park Elementary School,4 Downing St,Halifax NS,B3M 2G4,4 Downing St,Halifax NS,B3M 2G4,902-457-8422,902-457-8430,gwp@hrce.ca
2019-2020,54,Halifax Regional Centre for Education,567,Halifax Central Junior High School,1787 Preston St,Halifax NS,B3H 3V7,1787 Preston St,Halifax NS,B3H 3V7,902-421-6777,902-421-2868,central@hrce.ca
2019-2020,54,Halifax Regional Centre for Education,592,Halifax West High School,283 Thomas Raddall Dr,Halifax NS,B3S 1R1,283 Thomas Raddall Dr,Halifax NS,B3S 1R1,902-457-8900,902-457-8980,hwhs@hrce.ca
2019-2020,54,Halifax Regional Centre for Education,521,Harbour View Elementary School,25 Alfred St,Dartmouth NS,B3A 4E8,25 Alfred St,Dartmouth NS,B3A 4E8,902-464-2051,902-464-2282,hves@hrce.ca
2019-2020,54,Halifax Regional Centre for Education,522,Hawthorn Elementary School,10 Hawthorne St,Dartmouth NS,B2Y 2Y3,10 Hawthorne St,Dartmouth NS,B2Y 2Y3,902-464-2048,902-464-2799,hawthorn@hrsb.ns.ca
2019-2020,54,Halifax Regional Centre for Education,571,Highland Park Junior High School,3479 Robie St,Halifax NS,B3K 4S4,3479 Robie St,Halifax NS,B3K 4S4,902-493-5124,902-493-5130,hpjh@hrce.ca
2019-2020,54,Halifax Regional Centre for Education,327,Humber Park Elementary School,5 Smallwood Ave,Dartmouth NS,B2W 3R6,5 Smallwood Ave,Dartmouth NS,B2W 3R6,902-464-5177,902-464-5182,hps@hrce.ca
2019-2020,54,Halifax Regional Centre for Education,523,Ian Forsyth Elementary School,22 Glencoe Dr,Dartmouth NS,B2X 1J1,22 Glencoe Dr,Dartmouth NS,B2X 1J1,902-435-8435,902-435-8365,ifes@hrsb.ns.ca
2019-2020,54,Halifax Regional Centre for Education,579,Inglis Street Elementary School,5985 Inglis St,Halifax NS,B3H 1K7,5985 Inglis St,Halifax NS,B3H 1K7,902-421-6767,902-421-3028,ises@hrsb.ns.ca
2019-2020,54,Halifax Regional Centre for Education,619,J. L. Ilsley High School,38 Sylvia Ave,Halifax NS,B3R 1J9,38 Sylvia Ave,Halifax NS,B3R 1J9,902-479-4612,902-479-4635,jli@hrsb.ns.ca
2019-2020,54,Halifax Regional Centre for Education,539,John MacNeil Elementary School,62 Leaman Dr,Dartmouth NS,B3A 2K9,62 Leaman Dr,Dartmouth NS,B3A 2K9,902-464-2488,902-464-2616,jmes@hrsb.ns.ca
2019-2020,54,Halifax Regional Centre for Education,524,John Martin Junior High School,7 Brule St,Dartmouth NS,B3A 4G2,7 Brule St,Dartmouth NS,B3A 4G2,902-464-2408,902-464-2062,jmjh@hrsb.ns.ca
2019-2020,54,Halifax Regional Centre for Education,607,John W. MacLeod-Fleming Tower Elementary School,1511 Purcell's Cove Rd,Halifax NS,B3P 1B7,1511 Purcell's Cove Rd,Halifax NS,B3P 1B7,902-479-4437,902-479-4442,jwm@hrsb.ns.ca
2019-2020,54,Halifax Regional Centre for Education,354,Joseph Giles Elementary School,54 Gregory Dr,Dartmouth NS,B2W 3M6,54 Gregory Dr,Dartmouth NS,B2W 3M6,902-464-5192,902-464-5197,jges@hrsb.ns.ca
2019-2020,54,Halifax Regional Centre for Education,569,Joseph Howe Elementary School,2557 Maynard St,Halifax NS,B3K 3V6,2557 Maynard St,Halifax NS,B3K 3V6,902-421-6785,902-421-8744,jhowe@hrsb.ns.ca
2019-2020,54,Halifax Regional Centre for Education,1200,LeMarchant-St. Thomas Elementary School,6141 Watt St,Halifax NS,B3H 2B7,6141 Watt St,Halifax NS,B3H 2B7,902-421-6769,902-421-3036,lmsts@hrce.ca
2019-2020,54,Halifax Regional Centre for Education,526,Michael Wallace Elementary School,24 Andover St,Dartmouth NS,B2X 2L9,24 Andover St,Dartmouth NS,B2X 2L9,902-435-8357,902-435-8395,mwes@hrce.ca
2019-2020,54,Halifax Regional Centre for Education,527,Mount Edward Elementary School,3 Windward Ave,Dartmouth NS,B2W 2G9,3 Windward Ave,Dartmouth NS,B2W 2G9,902-435-8459,902-435-8414,mees@hrsb.ns.ca
2019-2020,54,Halifax Regional Centre for Education,572,Oxford School,6364 North St,Halifax NS,B3L 1P6,6364 North St,Halifax NS,B3L 1P6,902-421-6763,902-421-3043,oxford@hrce.ca
2019-2020,54,Halifax Regional Centre for Education,970,Park West School,206 Langbrae Dr,Halifax NS,B3S 1L5,206 Langbrae Dr,Halifax NS,B3S 1L5,902-457-7800,902-457-7804,parkwest@hrce.ca
2019-2020,54,Halifax Regional Centre for Education,969,Portland Estates Elementary School,45 Portland Hills Dr,Dartmouth NS,B2W 6L5,45 Portland Hills Dr,Dartmouth NS,B2W 6L5,902-433-7100,902-433-7103,portland@hrsb.ns.ca
