Facility ID,Facility,Permit Type,Permit Status,Facility Town
28,SMOKES POUTINERIE HALIFAX WATERFRONT,Eating Establishment,Issued,HALIFAX
29,SMOKE'S POUTINERIE HALIFAX,Eating Establishment,Issued,HALIFAX
30,Pleasant Street House,Eating Establishment,Issued,DARTMOUTH
31,MEXICO LINDO,Eating Establishment,Issued,HALIFAX
32,"GROWING PLACE EARLY EDUCATION CENTRE, THE",Eating Establishment,Issued,DARTMOUTH
33,ELEMENTS (PORTLAND STREET HONDA),Eating Establishment,Issued,DARTMOUTH
34,HARVEY'S,Eating Establishment,Issued,HALIFAX
35,COURTYARD BY MARRIOTT HALIFAX DOWNTOWN (HOTEL),Eating Establishment,Issued,HALIFAX
36,YEAH YEAH'S PIZZA,Eating Establishment,Issued,DARTMOUTH
37,WAEGWOLTIC CLUB,Eating Establishment,Issued,HALIFAX
38,DOOLY'S,Eating Establishment,Issued,DARTMOUTH
39,DOOLY'S YOUNG ST,Eating Establishment,Issued,HALIFAX
40,DOOLYS,Eating Establishment,Issued,DARTMOUTH
41,POINT PLEASANT LODGE,Eating Establishment,Issued,HALIFAX
42,MAYFLOWER CURLING CLUB,Eating Establishment,Issued,HALIFAX
43,Hampton Inn & Suites,Eating Establishment,Issued,DARTMOUTH
44,BATON ROUGE HALIFAX,Eating Establishment,Issued,HALIFAX
45,COWS (Kiosk),Eating Establishment,Issued,HALIFAX
46,PORTLAND STREET CREPERIE,Eating Establishment,Issued,DARTMOUTH
47,CHINA PALACE RESTAURANT LTD,Eating Establishment,Issued,HALIFAX
48,GROUNDED CAFE INC,Eating Establishment,Issued,HALIFAX
49,SUSIE'S SHORTBREADS INC.,Eating Establishment,Issued,HALIFAX
50,PICKFORD & BLACK,Eating Establishment,Issued,HALIFAX
51,BARRINGTON STEAKHOUSE & OYSTER BAR,Eating Establishment,Issued,HALIFAX
52,HIGHWAYMAN RESTAURANT LIMITED (THE),Eating Establishment,Issued,HALIFAX
53,RAY'S LEBANESE CUISINE - BAYERS LAKE,Eating Establishment,Issued,HALIFAX
54,MARBLE SLAB CREAMERY,Eating Establishment,Issued,HALIFAX
55,BEST CHOICE CHINESE FOOD,Eating Establishment,Issued,HALIFAX
56,YANJING CHINESE RESTAURANT,Eating Establishment,Issued,HALIFAX
57,JUST SPRING ROLL RESTAURANT,Eating Establishment,Issued,HALIFAX
58,DASC INDUSTRIES,Eating Establishment,Issued,DARTMOUTH
59,NEEDHAM PRESCHOOL AND DAYCARE,Eating Establishment,Issued,HALIFAX
60,MIDTOWN-BOOMERS TAVERN & LOUNGE,Eating Establishment,Issued,HALIFAX
61,TWIN CITIES VILLA LTD.,Eating Establishment,Issued,DARTMOUTH
62,OSTRICH CLUB (THE),Eating Establishment,Issued,HALIFAX
63,CUNARD STREET CHILDREN'S CENTRE (THE),Eating Establishment,Issued,HALIFAX
64,UNIVERSITY CLUB (THE),Eating Establishment,Issued,HALIFAX
65,CHKN CHOP INC,Eating Establishment,Issued,HALIFAX
66,KENTUCKY FRIED CHICKEN (Titus St),Eating Establishment,Issued,HALIFAX
67,MCDONALD'S RESTAURANTS,Eating Establishment,Issued,HALIFAX
68,MCDONALD'S RESTAURANT,Eating Establishment,Issued,DARTMOUTH
69,MCDONALD'S RESTAURANTS,Eating Establishment,Issued,DARTMOUTH
70,ROBIE ST. STATION DINER,Eating Establishment,Issued,HALIFAX
71,SOLUTIONS LEARNING CENTRE/DWAS,Eating Establishment,Issued,DARTMOUTH
72,XTREME PIZZA,Eating Establishment,Issued,HALIFAX
73,Edward Jost Annex,Eating Establishment,Issued,HALIFAX
74,SARAGUAY HOUSE,Eating Establishment,Issued,HALIFAX
75,ROYAL NOVA SCOTIA YACHT SQUADRON,Eating Establishment,Issued,HALIFAX
76,SON'S COFFEE INC.,Eating Establishment,Issued,HALIFAX
77,SWISS CHALET,Eating Establishment,Issued,DARTMOUTH
78,EAST SIDE MARIO'S,Eating Establishment,Issued,HALIFAX
79,FOGGY GOGGLE (THE),Eating Establishment,Issued,HALIFAX
80,WILLOWBRAE CHILDCARE ACADEMY,Eating Establishment,Issued,DARTMOUTH
81,WILLOWBRAE CHILDCARE ACADEMY,Eating Establishment,Issued,DARTMOUTH
82,PLEASANT STREET GO-STORE,Eating Establishment,Issued,DARTMOUTH
83,TRENDZ CAFE AND WINE BAR,Eating Establishment,Issued,DARTMOUTH
84,BOWLARAMA,Eating Establishment,Issued,HALIFAX
85,BOWLARAMA,Eating Establishment,Issued,HALIFAX
86,DARRELL'S RESTAURANT & SPORTS CAFE,Eating Establishment,Issued,HALIFAX
87,"Kids & Company, Dartmouth",Eating Establishment,Issued,DARTMOUTH
88,RINALDO'S ITALIAN AMERICAN SPECIALTIES,Eating Establishment,Issued,HALIFAX
89,Kids & Company - Halifax,Eating Establishment,Issued,HALIFAX
90,KIDS FUN FACTORY (THE),Eating Establishment,Issued,DARTMOUTH
91,JACKY'S CAFE,Eating Establishment,Issued,HALIFAX
92,HAPPY VEAL HOT POT LIMITED,Eating Establishment,Issued,HALIFAX
93,SEASONS BY ATLANTICA,Eating Establishment,Issued,HALIFAX
94,MODERN ORCHID,Eating Establishment,Issued,DARTMOUTH
95,HOLLIS HALIFAX (THE),Eating Establishment,Issued,HALIFAX
96,BURRITO JAX,Eating Establishment,Issued,HALIFAX
97,TAWA GRILL,Eating Establishment,Issued,HALIFAX
98,A & W,Eating Establishment,Issued,DARTMOUTH
99,QUALITY INN DARTMOUTH,Eating Establishment,Issued,DARTMOUTH
100,SOUTH END COMMUNITY DAY CARE CENTRE,Eating Establishment,Issued,HALIFAX
101,BRIGHTWOOD GOLF & COUNTRY CLUB LTD.,Eating Establishment,Issued,DARTMOUTH
102,New Wing Wah Restaurant,Eating Establishment,Issued,HALIFAX
103,PIZZA HUT (QUINPOOL),Eating Establishment,Issued,HALIFAX
104,Future Stars' Learning Centre,Eating Establishment,Issued,HALIFAX
105,FUTURE STARS' LEARNING CENTRE,Eating Establishment,Issued,HALIFAX
106,ADVENTURERS CHILD CARE CENTRE 1,Eating Establishment,Issued,DARTMOUTH
107,ADVENTURERS CHILD CARE CENTRE 2,Eating Establishment,Issued,DARTMOUTH
108,SILVER CRESCENT ACADEMY CHILDREN CENTER,Eating Establishment,Issued,HALIFAX
109,PIZZA DELIGHT,Eating Establishment,Issued,HALIFAX
110,TRIPLE AAA,Eating Establishment,Issued,HALIFAX
111,I LOVE PHO,Eating Establishment,Issued,HALIFAX
112,EAST SIDE MARIO'S,Eating Establishment,Issued,HALIFAX
113,BAGEL MONTREAL STYLE,Eating Establishment,Issued,DARTMOUTH
114,BEAVER SAILOR DINER,Eating Establishment,Issued,HALIFAX
115,SOBEYS #554,Eating Establishment,Issued,HALIFAX
116,ARMDALE YACHT CLUB,Eating Establishment,Issued,HALIFAX
117,MAY GARDEN CHINESE RESTAURANT,Eating Establishment,Issued,DARTMOUTH
118,KFC #1000 (QUINPOOL),Eating Establishment,Issued,HALIFAX
119,SOBEYS EXPRESS 4615,Eating Establishment,Issued,HALIFAX
120,SHIP VICTORY RESTAURANT AND LOUNGE,Eating Establishment,Issued,DARTMOUTH
121,ENVIE A VEGAN KITCHEN,Eating Establishment,Issued,HALIFAX
122,KENTUCKY FRIED CHICKEN/TACO BELL (MIC MAC),Eating Establishment,Issued,DARTMOUTH
123,CARE AND FUN (BEDFORD) CHILDCARE LIMITED,Eating Establishment,Issued,HALIFAX
124,CARE & FUN CHILDCARE LIMITED,Eating Establishment,Issued,HALIFAX
125,TWO IF BY SEA CAFE,Eating Establishment,Issued,DARTMOUTH
126,KENTUCKY FRIED CHICKEN (Tacoma Dr),Eating Establishment,Issued,DARTMOUTH
127,MELVILLE HEIGHTS,Eating Establishment,Issued,HALIFAX
128,SOBEYS #321,Eating Establishment,Issued,HALIFAX
129,BENTO NOUVEAU (SUSHI BAR),Eating Establishment,Issued,DARTMOUTH
130,BENTO SUSHI,Eating Establishment,Issued,HALIFAX
131,SUSHI BY BENTO NOUVEAU - Young St.,Eating Establishment,Issued,HALIFAX
132,SUSHI BY BENTO NOUVEAU - Braemar Dr.,Eating Establishment,Issued,DARTMOUTH
133,BENTO NOUVEAU (SUSHI BAR),Eating Establishment,Issued,HALIFAX
134,SOBEYS #586,Eating Establishment,Issued,DARTMOUTH
135,CASINO MAIN / BANQUET KITCHEN,Eating Establishment,Issued,HALIFAX
136,BENTO NOUVEAU (SUSHI BAR),Eating Establishment,Issued,HALIFAX
137,BENTO SUSHI IN SOBEYS (LACEWOOD),Eating Establishment,Issued,HALIFAX
138,BENTO SUSHI IN SOBEYS (QUEEN ST),Eating Establishment,Issued,HALIFAX
139,BENTO SUSHI IN SOBEYS (HERRING COVE),Eating Establishment,Issued,HALIFAX
140,BENTO NOUVEAU (SUSHI BAR),Eating Establishment,Issued,HALIFAX
141,BENTO NOUVEAU (SUSHI BAR),Eating Establishment,Issued,HALIFAX
142,BENTO SUSHI IN SOBEYS (WINDSOR ST),Eating Establishment,Issued,HALIFAX
143,BENTO SUSHI IN SOBEYS (WYSE ROAD),Eating Establishment,Issued,DARTMOUTH
144,BURGER KING,Eating Establishment,Issued,DARTMOUTH
145,PETE'S FINE FOODS,Eating Establishment,Issued,HALIFAX
146,SOBEYS #758,Eating Establishment,Issued,DARTMOUTH
147,RESIDENCE INN BY MARRIOTT HALIFAX DOWNTOWN,Eating Establishment,Issued,HALIFAX
148,SOBEYS #776,Eating Establishment,Issued,DARTMOUTH
149,SOBEYS #772,Eating Establishment,Issued,DARTMOUTH
150,SOBEYS #644,Eating Establishment,Issued,HALIFAX
151,MCDONALD'S FAMILY RESTAURANT,Eating Establishment,Issued,DARTMOUTH
152,MCDONALD'S FAMILY RESTAURANT,Eating Establishment,Issued,DARTMOUTH
153,MCDONALD'S FAMILY RESTAURANT,Eating Establishment,Issued,DARTMOUTH
154,BURGER KING,Eating Establishment,Issued,HALIFAX
155,RUDYS I,Eating Establishment,Issued,HALIFAX
156,YUMMY K CAFE,Eating Establishment,Issued,HALIFAX
157,SHIRAZ RESTAURANT,Eating Establishment,Issued,HALIFAX
158,CAPTAIN'S BOIL (THE),Eating Establishment,Issued,HALIFAX
159,CORA BREAKFAST AND LUNCH,Eating Establishment,Issued,HALIFAX
160,CHATIME HALIFAX,Eating Establishment,Issued,HALIFAX
161,AS YOU LIKE IT SANDWICH BAR,Eating Establishment,Issued,HALIFAX
162,HOPE UNITED CHURCH,Eating Establishment,Issued,HALIFAX
163,COMPASS DISTILLERS,Eating Establishment,Issued,HALIFAX
164,CHRISTOPHER ALLAN'S PRESCHOOL,Eating Establishment,Issued,HALIFAX
165,LITTLE OAK,Eating Establishment,Issued,HALIFAX
166,FRESHII AT SCOTIA SQUARE,Eating Establishment,Issued,HALIFAX
167,SEVEN PEPPERS GRILL,Eating Establishment,Issued,HALIFAX
168,CLAY WEST BAR & GRILL,Eating Establishment,Issued,HALIFAX
169,EFENDY EXPRESS,Eating Establishment,Issued,HALIFAX
170,GOODMORE KOMBUCHA INC,Eating Establishment,Issued,DARTMOUTH
171,LION'S HEAD TAVERN,Eating Establishment,Issued,HALIFAX
172,OLYMPIC COMMUNITY CENTER,Eating Establishment,Issued,HALIFAX
173,MIC MAC AMATEUR AQUATIC CLUB KITCHEN,Eating Establishment,Issued,DARTMOUTH
174,SUBWAY,Eating Establishment,Issued,DARTMOUTH
175,SUBWAY (Bancroft Lane),Eating Establishment,Issued,DARTMOUTH
176,IKEA,Eating Establishment,Issued,DARTMOUTH
177,COLE HARBOUR WOODSIDE UNITED CHURCH,Eating Establishment,Issued,DARTMOUTH
178,TIM HORTONS,Eating Establishment,Issued,HALIFAX
179,RUSH HOUR PIZZA,Eating Establishment,Issued,HALIFAX
180,HEALTHYWAY CAFE @ MPC,Eating Establishment,Issued,HALIFAX
181,DARTMOUTH DAY CARE CENTRE (CRICHTON),Eating Establishment,Issued,DARTMOUTH
182,SCANWAY CATERING,Eating Establishment,Issued,HALIFAX
183,BAKERY & CAFE,Eating Establishment,Issued,HALIFAX
184,MORRIS EAST INC,Eating Establishment,Issued,HALIFAX
185,MORRIS EAST PIZZERIA,Eating Establishment,Issued,HALIFAX
186,KO-DORAKU,Eating Establishment,Issued,HALIFAX
187,ALEXANDRA'S PIZZA,Eating Establishment,Issued,HALIFAX
188,POP CULTURE BREW CO.,Eating Establishment,Issued,DARTMOUTH
189,CARLETON (THE),Eating Establishment,Issued,HALIFAX
190,NORTH END COMMUNITY DAY CARE CENTRE,Eating Establishment,Issued,HALIFAX
191,O'REGAN'S CAFE,Eating Establishment,Issued,DARTMOUTH
192,ORIENT CHINESE CUISINE (THE),Eating Establishment,Issued,HALIFAX
193,WAVERLEY ROAD CHILDREN'S CENTER,Eating Establishment,Issued,DARTMOUTH
194,MUMFORD ROAD CHILDREN'S CENTRE,Eating Establishment,Issued,HALIFAX
195,FAR EAST CHINESE CUISINE,Eating Establishment,Issued,HALIFAX
196,HONEY & GINGER,Eating Establishment,Issued,DARTMOUTH
197,RASA: FLAVOURS OF INDIA/SURA,Eating Establishment,Issued,HALIFAX
198,A & W,Eating Establishment,Issued,DARTMOUTH
199,YUM YUM RESTAURANT,Eating Establishment,Issued,DARTMOUTH
200,PIZZA HUT,Eating Establishment,Issued,DARTMOUTH
201,COUSINS RESTAURANT,Eating Establishment,Issued,HALIFAX
202,PIZZA HUT,Eating Establishment,Issued,HALIFAX
203,MARQUEE BALLROOM (THE),Eating Establishment,Issued,HALIFAX
204,PLEASANT STREET DINER,Eating Establishment,Issued,DARTMOUTH
205,NEWFOUNDLAND SOCIAL CLUB,Eating Establishment,Issued,DARTMOUTH
206,WASABI HOUSE RESTAURANT LTD.,Eating Establishment,Issued,HALIFAX
207,HALIFAX CLUB (THE),Eating Establishment,Issued,HALIFAX
208,MI'KMAQ CHILD DEVELOPMENT CENTRE,Eating Establishment,Issued,HALIFAX
209,FICKLE FROG PUB,Eating Establishment,Issued,HALIFAX
210,POINT PLEASANT CHILD CARE CENTRE (OGILVIE),Eating Establishment,Issued,HALIFAX
211,POINT PLEASANT CHILD CARE CTR / INFANT & TODDLER FACILITY SAINT MARY'S,Eating Establishment,Issued,HALIFAX
212,POINT PLEASANT CHILD CARE CENTRE (ST. MARY'S),Eating Establishment,Issued,HALIFAX
213,FRESHII BURNSIDE,Eating Establishment,Issued,DARTMOUTH
214,MIZU ALL YOU CAN EAT,Eating Establishment,Issued,DARTMOUTH
215,MELVILLE GARDENS,Eating Establishment,Issued,HALIFAX
216,PINT (THE),Eating Establishment,Issued,HALIFAX
217,KIMMIE'S KANTEEN,Eating Establishment,Issued,HALIFAX
218,MINATO SUSHI,Eating Establishment,Issued,HALIFAX
219,ELEMENTS ON HOLLIS (WESTIN NS),Eating Establishment,Issued,HALIFAX
220,ODELL'S GLUTEN FREE BAKERY & CAFE,Eating Establishment,Issued,HALIFAX
221,KFC / TACO BELL Halifax Shopping Centre,Eating Establishment,Issued,HALIFAX
222,PHO HOANG MINH,Eating Establishment,Issued,DARTMOUTH
223,PITA PIT,Eating Establishment,Issued,DARTMOUTH
224,LA PIAZZA RISTORANTE,Eating Establishment,Issued,HALIFAX
225,DOMINO'S PIZZA,Eating Establishment,Issued,HALIFAX
226,DOMINO'S PIZZA (STORE 10981),Eating Establishment,Issued,DARTMOUTH
227,DOMINO'S PIZZA (STORE 10979),Eating Establishment,Issued,HALIFAX
228,KIDS R KIDS DAY CARE INC.,Eating Establishment,Issued,HALIFAX
229,BOOSTER JUICE,Eating Establishment,Issued,HALIFAX
230,"MACPHEE'S ""KITCHEN""",Eating Establishment,Issued,DARTMOUTH
231,East Dartmouth Community Centre,Eating Establishment,Issued,DARTMOUTH
232,DARTMOUTH NORTH COMMUNITY FOOD CENTRE,Eating Establishment,Issued,DARTMOUTH
233,"UNFILTERED DRINKING ""CHARM SCHOOL""",Eating Establishment,Issued,HALIFAX
234,TIM HORTONS,Eating Establishment,Issued,DARTMOUTH
235,EASTSIDE BILLIARD AND LOUNGE,Eating Establishment,Issued,HALIFAX
236,TIM HORTONS,Eating Establishment,Issued,DARTMOUTH
237,TIM HORTONS,Eating Establishment,Issued,DARTMOUTH
238,TIM HORTONS,Eating Establishment,Issued,DARTMOUTH
239,CAFE AROMA LATINO,Eating Establishment,Issued,HALIFAX
240,DARTMOUTH CURLING CLUB,Eating Establishment,Issued,DARTMOUTH
241,FUNG WAH RESTAURANT,Eating Establishment,Issued,HALIFAX
242,SEVEN BAYS BOULDERING CO.,Eating Establishment,Issued,HALIFAX
243,AS YOU LIKE IT,Eating Establishment,Issued,HALIFAX
244,NORTHWOOD FOOD SERVICES - MAIN KITCHEN,Eating Establishment,Issued,HALIFAX
245,A & W,Eating Establishment,Issued,HALIFAX
246,A & W,Eating Establishment,Issued,HALIFAX
247,A & W,Eating Establishment,Issued,HALIFAX
248,A & W,Eating Establishment,Issued,HALIFAX
249,MOUNT ST VINCENT CHILD STUDY CENTRE,Eating Establishment,Issued,HALIFAX
250,MCDONALD'S RESTAURANT#2732,Eating Establishment,Issued,HALIFAX
251,MCDONALD'S RESTAURANT#29712,Eating Establishment,Issued,HALIFAX
252,McDonalds,Eating Establishment,Issued,HALIFAX
253,McDonalds,Eating Establishment,Issued,HALIFAX
254,MCDONALD'S RESTAURANT,Eating Establishment,Issued,HALIFAX
255,McDonalds,Eating Establishment,Issued,HALIFAX
256,MCDONALD'S RESTAURANTS#5652,Eating Establishment,Issued,HALIFAX
257,MAXWELLS PLUM,Eating Establishment,Issued,HALIFAX
258,FONG SING RESTAURANT,Eating Establishment,Issued,HALIFAX
259,HALIFAX EXHIBITION CENTRE,Eating Establishment,Issued,HALIFAX
260,SUSHI TONARI,Eating Establishment,Issued,HALIFAX
261,"OBLADEE, A Wine Bar",Eating Establishment,Issued,HALIFAX
262,VETERANS MEMORIAL HOSPITAL CAFETERIA,Eating Establishment,Issued,HALIFAX
263,BOOSTER JUICE STORE (SCOTIA SQUARE),Eating Establishment,Issued,HALIFAX
264,CREATIVE CROSSING STUDIO 2,Eating Establishment,Issued,HALIFAX
265,PORTLAND DAY CARE CENTRE,Eating Establishment,Issued,DARTMOUTH
266,MOLLYZ DINER,Eating Establishment,Issued,HALIFAX
267,LODGE THAT GIVES/CAN CANCER SOCIETY,Eating Establishment,Issued,HALIFAX
268,BOSTON PIZZA,Eating Establishment,Issued,HALIFAX
269,BOSTON PIZZA,Eating Establishment,Issued,DARTMOUTH
270,BOSTON PIZZA,Eating Establishment,Issued,DARTMOUTH
271,MIRCHI TANDOOR,Eating Establishment,Issued,HALIFAX
272,COSY SNACK BAR,Eating Establishment,Issued,HALIFAX
273,SCOTIA ROOM CAFETERIA ( VG HOSPITAL BUILDING),Eating Establishment,Issued,HALIFAX
274,ITALIAN MARKET,Eating Establishment,Issued,HALIFAX
275,ITALIAN MARKET,Eating Establishment,Issued,HALIFAX
276,MASHAWEE MEDITERRANEAN GRILL,Eating Establishment,Issued,HALIFAX
277,TIM HORTONS,Eating Establishment,Issued,DARTMOUTH
278,TIM HORTONS,Eating Establishment,Issued,DARTMOUTH
279,ROLL IT UP,Eating Establishment,Issued,HALIFAX
280,SONG'S KOREAN RESTAURANT,Eating Establishment,Issued,HALIFAX
281,DINING HALL,Eating Establishment,Issued,HALIFAX
282,TAOIST TAI CHI SOCIETY,Eating Establishment,Issued,HALIFAX
283,AMIN'S INDIAN FOOD,Eating Establishment,Issued,HALIFAX
284,DILL PICKLE SANDWICH BAR (THE),Eating Establishment,Issued,HALIFAX
285,LITTLE PICASSO DAYCARE & ART CENTRE,Eating Establishment,Issued,HALIFAX
286,ITALIAN ASSOCIATION,Eating Establishment,Issued,HALIFAX
287,JOHNS LUNCH,Eating Establishment,Issued,DARTMOUTH
288,ST. ANDREW'S UNITED CHURCH,Eating Establishment,Issued,HALIFAX
289,SPENCER HOUSE SENIORS CENTRE,Eating Establishment,Issued,HALIFAX
290,XIAO YU HOMESTYLE NOODLE,Eating Establishment,Issued,HALIFAX
291,NANTUCKET HOME,Eating Establishment,Issued,DARTMOUTH
292,NORBERT'S GOOD FOOD,Eating Establishment,Issued,HALIFAX
293,LE PETIT VOILIER - Sommet,Eating Establishment,Issued,HALIFAX
294,MAPLE TREE MONTESSORI,Eating Establishment,Issued,HALIFAX
295,Dartmouth Child Development Centre,Eating Establishment,Issued,DARTMOUTH
296,SAINT VINCENT'S NURSING HOME,Eating Establishment,Issued,HALIFAX
297,PURPLE DOOR CHILDREN'S CENTRE INC.,Eating Establishment,Issued,DARTMOUTH
298,"NOVA SCOTIA COMMUNITY COLLEGE, AKERLEY CAMPUS",Eating Establishment,Issued,DARTMOUTH
299,HILLSIDE WESLEYAN CHURCH - PARKWAY,Eating Establishment,Issued,DARTMOUTH
300,SHERWOOD PARK PRESCHOOL (2015) LIMITED,Eating Establishment,Issued,HALIFAX
301,BERKELEY DARTMOUTH (THE),Eating Establishment,Issued,DARTMOUTH
302,YMCA PURDY'S WHARF CHILD CARE CENTRE,Eating Establishment,Issued,HALIFAX
303,TIM HORTONS (IWK),Eating Establishment,Issued,HALIFAX
304,IWK / Grace Hospital (Main Dietary),Eating Establishment,Issued,HALIFAX
305,HEART AND HEARTH CAFE,Eating Establishment,Issued,HALIFAX
306,WELLNESS CAFE,Eating Establishment,Issued,DARTMOUTH
307,CHESTNUT STREET PRESCHOOL CENTRE,Eating Establishment,Issued,HALIFAX
308,HALIFAX CURLING CLUB,Eating Establishment,Issued,HALIFAX
309,LYNDEN REST HOME,Eating Establishment,Issued,HALIFAX
310,REIGH ALLEN CENTRE,Eating Establishment,Issued,DARTMOUTH
311,TIM HORTONS,Eating Establishment,Issued,HALIFAX
312,TIM HORTONS,Eating Establishment,Issued,HALIFAX
313,MAPLE TREE MONTESSORI (Quinpool Rd Campus),Eating Establishment,Issued,HALIFAX
314,OLIVER'S COFFEES,Eating Establishment,Issued,HALIFAX
315,JULIEN'S PASTRY SHOP,Eating Establishment,Issued,HALIFAX
316,WARD 5 NEIGHBORHOOD CENTRE,Eating Establishment,Issued,HALIFAX
317,NEW BEGINNINGS DAY CARE,Eating Establishment,Issued,HALIFAX
318,MEXICAN TAKOLOKO RESTAURANT,Eating Establishment,Issued,HALIFAX
319,KORCA PIZZA,Eating Establishment,Issued,HALIFAX
320,CENTRAL NOVA SCOTIA CORRECTIONAL,Eating Establishment,Issued,DARTMOUTH
321,TIM HORTONS,Eating Establishment,Issued,DARTMOUTH
322,TIM HORTON'S,Eating Establishment,Issued,DARTMOUTH
323,TIM HORTONS,Eating Establishment,Issued,DARTMOUTH
324,TIM HORTONS (DAA GROUP LTD.),Eating Establishment,Issued,DARTMOUTH
325,TIM HORTONS,Eating Establishment,Issued,DARTMOUTH
326,TIM HORTONS,Eating Establishment,Issued,DARTMOUTH
327,SUPERSTAR KARAOKE & LOUNGE,Eating Establishment,Issued,HALIFAX
328,SMITTYS FAMILY RESTAURANT,Eating Establishment,Issued,HALIFAX
329,SMITTYS,Eating Establishment,Issued,HALIFAX
330,MAMA GRATTIS,Eating Establishment,Issued,HALIFAX
331,TIM HORTONS,Eating Establishment,Issued,HALIFAX
332,TIM HORTONS,Eating Establishment,Issued,HALIFAX
333,TIM HORTONS DRIVE THROUGH (ESSO),Eating Establishment,Issued,HALIFAX
334,TIM HORTONS,Eating Establishment,Issued,HALIFAX
335,TIM HORTONS,Eating Establishment,Issued,HALIFAX
336,TIM HORTONS,Eating Establishment,Issued,HALIFAX
337,NEW YORK FRIES,Eating Establishment,Issued,HALIFAX
338,NEW YORK FRIES,Eating Establishment,Issued,DARTMOUTH
339,WENDY'S OLD FASHIONED HAMBURGERS,Eating Establishment,Issued,DARTMOUTH
340,WENDY'S RESTAURANT,Eating Establishment,Issued,HALIFAX
341,WENDY'S RESTAURANT,Eating Establishment,Issued,DARTMOUTH
342,WENDY'S RESTAURANT,Eating Establishment,Issued,HALIFAX
343,WENDY'S RESTAURANT,Eating Establishment,Issued,DARTMOUTH
344,WENDYS RESTAURANT,Eating Establishment,Issued,HALIFAX
345,DARTMOUTH DAY CARE CENTRE (CALEDONIA),Eating Establishment,Issued,DARTMOUTH
346,JENNY'S,Eating Establishment,Issued,HALIFAX
347,KEG RESTAURANT,Eating Establishment,Issued,HALIFAX
348,PLEASANT VIEW FOSTER VILLA / WOODSIDE MANOR,Eating Establishment,Issued,DARTMOUTH
349,ST. JOSEPHS CHILDRENS CENTRE (MONASTERY),Eating Establishment,Issued,HALIFAX
350,ST. JOSEPH'S CHILDREN'S CENTRE,Eating Establishment,Issued,HALIFAX
351,ADOLESCENT INTENSIVE SERVICES (AIS),Eating Establishment,Issued,HALIFAX
352,PORT CITY COFFEE,Eating Establishment,Issued,DARTMOUTH
353,Jessy's Pizza North End,Eating Establishment,Issued,HALIFAX
354,BAI WEI GRILL BAR,Eating Establishment,Issued,HALIFAX
355,HARBOUR CITY BAR & GRILL,Eating Establishment,Issued,HALIFAX
356,KEMPT SCREEN GOLF,Eating Establishment,Issued,HALIFAX
357,DUTCH VILLAGE ROAD CHILD CARE CENTRE,Eating Establishment,Issued,HALIFAX
358,ARISU TABLE BBQ AND SUSHI BAR,Eating Establishment,Issued,HALIFAX
359,SCOTIABANK THEATRE HALIFAX,Eating Establishment,Issued,HALIFAX
360,CINEPLEX CINEMAS DARTMOUTH CROSSING,Eating Establishment,Issued,DARTMOUTH
361,CINEPLEX CINEMAS PARK LANE,Eating Establishment,Issued,HALIFAX
362,CAMBRIDGE SUITES HOTEL HALIFAX,Eating Establishment,Issued,HALIFAX
363,PRINCE GEORGE HOTEL (THE) / GIO / LEVEL BAR / TERRACE (THE),Eating Establishment,Issued,HALIFAX
